GROUP_DESC,SUBGROUP,SUBGROUP_DESC,START_IDX,END_IDX,LETTER
Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,00,09,A
Certain infectious and parasitic diseases,A15-A19,Tuberculosis,15,19,A
Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,20,28,A
Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,30,49,A
Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,50,64,A
Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,65,69,A
Certain infectious and parasitic diseases,A70-A74,Other diseases caused by chlamydiae,70,74,A
Certain infectious and parasitic diseases,A75-A79,Rickettsioses,75,79,A
Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,80,89,A
Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,90,99,A
Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,00,09,B
Certain infectious and parasitic diseases,B10-B10,Other human herpesviruses,10,10,B
Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,15,19,B
Certain infectious and parasitic diseases,B20-B20,Human immunodeficiency virus [HIV] disease,20,20,B
Certain infectious and parasitic diseases,B25-B34,Other viral diseases,25,34,B
Certain infectious and parasitic diseases,B35-B49,Mycoses,35,49,B
Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,50,64,B
Certain infectious and parasitic diseases,B65-B83,Helminthiases,65,83,B
Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",85,89,B
Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases,90,94,B
Certain infectious and parasitic diseases,B95-B97,Bacterial and viral infectious agents,95,97,B
Certain infectious and parasitic diseases,B99-B99,Other infectious diseases,99,99,B
Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",00,14,C
Neoplasms,C15-C26,Malignant neoplasms of digestive organs,15,26,C
Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,30,39,C
Neoplasms,C40-C41,Malignant neoplasms of bone and articular cartilage,40,41,C
Neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin,43,44,C
Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,45,49,C
Neoplasms,C50-C50,Malignant neoplasms of breast,50,50,C
Neoplasms,C51-C58,Malignant neoplasms of female genital organs,51,58,C
Neoplasms,C60-C63,Malignant neoplasms of male genital organs,60,63,C
Neoplasms,C64-C68,Malignant neoplasms of urinary tract,64,68,C
Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",69,72,C
Neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,73,75,C
Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",76,80,C
Neoplasms,C7A-C7A,Malignant neuroendocrine tumors,7A,7A,C
Neoplasms,C7B-C7B,Secondary neuroendocrine tumors,7B,7B,C
Neoplasms,C81-C96,"Malignant neoplasms of lymphoid, hematopoietic and related tissue",81,96,C
Neoplasms,D00-D09,In situ neoplasms,00,09,D
Neoplasms,D10-D36,"Benign neoplasms, except benign neuroendocrine tumors",10,36,D
Neoplasms,D37-D48,"Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes",37,48,D
Neoplasms,D3A-D3A,Benign neuroendocrine tumors,3A,3A,D
Neoplasms,D49-D49,Neoplasms of unspecified behavior,49,49,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anemias,50,53,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Hemolytic anemias,55,59,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anemias and other bone marrow failure syndromes,60,64,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other hemorrhagic conditions",65,69,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other disorders of blood and blood-forming organs,70,77,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D78-D78,Intraoperative and postprocedural complications of the spleen,78,78,D
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,80,89,D
"Endocrine, nutritional and metabolic diseases�",E00-E07,Disorders of thyroid gland,00,07,E
"Endocrine, nutritional and metabolic diseases�",E08-E13,Diabetes mellitus,08,13,E
"Endocrine, nutritional and metabolic diseases�",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,15,16,E
"Endocrine, nutritional and metabolic diseases�",E20-E35,Disorders of other endocrine glands,20,35,E
"Endocrine, nutritional and metabolic diseases�",E36-E36,Intraoperative complications of endocrine system,36,36,E
"Endocrine, nutritional and metabolic diseases�",E40-E46,Malnutrition,40,46,E
"Endocrine, nutritional and metabolic diseases�",E50-E64,Other nutritional deficiencies,50,64,E
"Endocrine, nutritional and metabolic diseases�",E65-E68,"Overweight, obesity and other hyperalimentation",65,68,E
"Endocrine, nutritional and metabolic diseases�",E70-E88,Metabolic disorders,70,88,E
"Endocrine, nutritional and metabolic diseases�",E89-E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified",89,89,E
"Mental, Behavioral and Neurodevelopmental disorders",F01-F09,Mental disorders due to known physiological conditions,01,09,F
"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,10,19,F
"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",20,29,F
"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,30,39,F
"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",40,48,F
"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,50,59,F
"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,60,69,F
"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,70,79,F
"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,80,89,F
"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,90,98,F
"Mental, Behavioral and Neurodevelopmental disorders",F99-F99,Unspecified mental disorder,99,99,F
Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,00,09,G
Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,10,14,G
Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,20,26,G
Diseases of the nervous system,G30-G32,Other degenerative diseases of the nervous system,30,32,G
Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system,35,37,G
Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,40,47,G
